id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
7381,Chalet Chocolat in medieval alpine village,19480,Paula,Aigle,Ormont-Dessus,46.35447,7.13187,Entire home/apt,80,3,58,2023-07-17,0.41,1,279,3,
26809,"Quiet bedroom, private bathroom",94917,Eric,Lavaux-Oron,Pully,46.52083,6.66308,Private room,,2,117,2017-01-22,0.71,1,0,0,
50123,Not Available any longer,229512,Christopher,Nyon,Mont-sur-Rolle,46.47582,6.32948,Private room,789,4,0,,,1,365,0,
129558,Vos vacances à Lausanne,638930,Carol,Lausanne,Lausanne,46.53782,6.62031,Private room,,7,0,,,1,0,0,
259823,"Spacious, quiet, downtown, near lake & transports",1363446,David,Riviera-Pays-d'Enhaut,La Tour-de-Peilz,46.45241,6.86121,Entire home/apt,,2,13,2019-08-04,0.16,1,0,0,
268195,"Chalet Balthazar 4 - Central Villars, Great Views",1405645,David,Aigle,Ollon,46.29621,7.05534,Entire home/apt,575,7,18,2023-09-15,0.20,5,206,2,
282240,Wonderful LOFT PRIVAT in citycenter,1471038,Mike,Lausanne,Lausanne,46.52192,6.64,Entire home/apt,179,3,22,2023-09-27,0.15,1,252,6,
347194,Castle in the hill. Stunning view 1,1759902,Anne Et Maureen,Riviera-Pays-d'Enhaut,Chardonne,46.47465,6.8007,Hotel room,133,1,77,2024-02-29,0.54,3,230,3,
361490,Castle in the hill. Stunning view 2,1759902,Anne Et Maureen,Riviera-Pays-d'Enhaut,Chardonne,46.47372055053711,6.801305770874023,Entire home/apt,115,1,98,2024-02-28,0.67,3,244,17,
441365,Centré 2 pieces superbe appartement,2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Entire home/apt,100,1,26,2022-12-03,0.21,16,343,0,
465603,Spacious room - private bathroom,2312887,Elisabeth,Aigle,Rennaz,46.37578,6.91791,Private room,42,2,270,2023-12-11,1.88,1,83,13,
481748,Duplex! Center of Vevey. Character!,2386200,Milica,Riviera-Pays-d'Enhaut,Vevey,46.46593,6.84179,Entire home/apt,198,7,0,,,1,178,0,
484112,Great lake views and beautiful modern flat,1469498,Natalia,Lausanne,Lausanne,46.52386,6.61567,Entire home/apt,,4,17,2022-12-20,0.12,1,0,0,
545587,Bright 2nd floor Business/ Holiday apartment,440526,Lars,Lavaux-Oron,Bourg-en-Lavaux,46.49024,6.74794,Entire home/apt,132,3,2,2024-01-03,0.11,5,266,1,
563402,Heidi Chalet Alps - Unique Experience - Authentic,2770598,Moriya,Riviera-Pays-d'Enhaut,Rossinière,46.46800310242388,7.0674592480801115,Entire home/apt,266,2,181,2024-03-03,1.28,29,318,3,
580402,"A4C3Coeur de ville, chambre privée",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,,1,58,2022-10-26,0.46,16,0,0,
592411,Minuit Soleil Room in the Lavaux!,2924373,Danièle,Lavaux-Oron,Bourg-en-Lavaux,46.49774,6.72629,Private room,,15,3,2023-09-30,0.03,10,0,1,
605354,Chambre double située à Cully ! Wc/douche privatif,2998131,Claire,Lavaux-Oron,Bourg-en-Lavaux,46.48881,6.73033,Private room,90,1,177,2023-11-28,1.26,2,353,23,
614885,Romantica Room in the Lavaux !,2924373,Danièle,Lavaux-Oron,Bourg-en-Lavaux,46.49931,6.72631,Private room,50,30,4,2022-10-15,0.03,10,313,0,
614923,Bambou Room right in the Lavaux !,2924373,Danièle,Lavaux-Oron,Bourg-en-Lavaux,46.49822,6.72634,Private room,60,30,1,2016-05-01,0.01,10,69,0,
630291,White Double room in Cully Village,2998131,Claire,Lavaux-Oron,Bourg-en-Lavaux,46.48974,6.73006,Private room,90,1,221,2023-11-21,1.66,2,0,20,
734992,house with a view,3834042,Caroline,Riviera-Pays-d'Enhaut,Montreux,46.4328,6.93754,Entire home/apt,,3,0,,,1,0,0,
806451,Sunset on the Leman Lake - Montreux,6842190,Anne,Riviera-Pays-d'Enhaut,Montreux,46.4279,6.92836,Private room,161,2,204,2023-08-06,1.55,1,195,9,
932282,"A3/C2 Coeur de Ville, Magnifique chambre",2193547,Inès,Lausanne,Lausanne,46.5307,6.63133,Private room,65,1,61,2023-12-07,0.46,16,365,2,
966106,Modern apartment in the mountains with sauna,5269002,Jillian And David,Nyon,Saint-Cergue,46.452618,6.160311,Entire home/apt,85,2,66,2023-07-14,0.53,1,332,1,
970278,20 min:Lausanne/Neuchâtel,5301033,Barbara & Roger,Jura-Nord vaudois,Grandson,46.79959,6.62532,Private room,,1,6,2023-06-03,0.05,2,314,1,
998336,Duplex flat in Gstaad / Rougemeont,5486803,Sebastien,Riviera-Pays-d'Enhaut,Rougemont,46.48978,7.214,Entire home/apt,,7,1,2014-08-22,0.01,1,364,0,
1040903,Face to the lake and the Alps!,5730954,Odile Et Finn,Morges,Morges,46.51984,6.49471,Private room,49,4,55,2023-06-30,0.42,2,190,1,
1117582,Stunning View - 2 Bedroom Apartment. Chardonne,6134211,Gavin & Jenny,Riviera-Pays-d'Enhaut,Chardonne,46.47686,6.82629,Entire home/apt,250,2,58,2022-09-20,0.44,1,159,0,
1127066,Historical Chalet Gryon-Les Plans,6183257,Olivier Nicolas,Aigle,Bex,46.25605,7.096,Entire home/apt,265,2,101,2024-03-03,0.82,1,312,16,
1134905,Loft en milieu rural à Eclagnens,6225721,Jean-Daniel,Gros-de-Vaud,Oulens-sous-Echallens,46.64991,6.58682,Entire home/apt,125,4,23,2021-09-19,0.18,2,365,0,
1140136,La Chambre #11,261907,Marie-France,Morges,Préverenges,46.51584,6.51528,Private room,146,1,24,2023-11-26,0.20,2,6,4,
1157613,Stunning Suite with a view in the vineyards,1759902,Anne Et Maureen,Riviera-Pays-d'Enhaut,Chardonne,46.47427,6.80873,Hotel room,157,1,73,2024-03-03,0.63,3,271,38,
1182243,Cozy apartment in beautiful garden!,6467347,Christine,Riviera-Pays-d'Enhaut,Saint-Légier-La Chiésaz,46.46636,6.86213,Entire home/apt,75,30,13,2021-11-13,0.11,2,167,0,
1189018,NYON  -  SUPERB flat by the lake,185535,Michelle,Nyon,Nyon,46.382275,6.241806,Entire home/apt,250,4,4,2022-06-28,0.04,2,359,0,
1209679,Ski in/out Retro modern chalet w/ stunning views,6438801,Ben,Aigle,Leysin,46.34502,7.01531,Entire home/apt,115,5,63,2024-02-24,0.52,1,211,9,
1237327,H2otes,6746492,Sandrine,Morges,Cuarnens,46.62459,6.43873,Private room,79,2,1,2016-05-02,0.01,1,365,0,
1253444,Huge flat with large south oriented terrace,6829425,Anthoni,Lausanne,Lausanne,46.50809,6.62735,Entire home/apt,300,21,4,2014-07-22,0.03,1,177,0,
1262248,Single bedroom in Morges 10 min from train station,6035240,Michel,Morges,Morges,46.51799,6.4947,Private room,65,3,63,2023-11-06,0.49,1,356,2,
1285195,Nice 1 bedroom flat in Lausanne,6992451,Youssef,Lausanne,Lausanne,46.51212,6.63402,Entire home/apt,,3,7,2017-07-15,0.07,1,0,0,
1318979,Studio Les Avants sur Montreux,7163004,Kristyna,Riviera-Pays-d'Enhaut,Montreux,46.45457,6.94256,Entire home/apt,70,2,514,2024-02-25,3.96,1,271,58,
1349096,Entire flat with panoramic Mont Blanc view,5597642,Claire,Nyon,Nyon,46.38661,6.23481,Entire home/apt,120,5,21,2024-02-16,0.16,1,95,1,
1371803,65sqm w/balcony in heart of town,3899631,Djamel,Lausanne,Lausanne,46.51402,6.62907,Entire home/apt,120,3,99,2023-09-29,0.84,2,287,15,
1388711,Chalet aux pieds des pistes avec places de parcs,7512382,Dejan,Riviera-Pays-d'Enhaut,Chardonne,46.48353,6.83954,Entire home/apt,,2,0,,,2,0,0,
1411747,"Stylish, cosy and independent cottage",7611130,Nathalie,Morges,Buchillon,46.47162,6.42444,Entire home/apt,135,4,50,2023-10-28,0.41,3,319,5,
1500807,Living and vacation in garden eden and palm oasis,8020273,Bent,Broye-Vully,Cudrefin,46.94236,6.99906,Private room,99,1,46,2023-09-30,0.39,2,345,3,
1501736,Nice modern family house close to shops and slopes,8024039,Sophie,Aigle,Roche (Vaud),46.35948,6.92971,Entire home/apt,,3,0,,,1,0,0,
1516660,Chalet pieds dans l'eau lac de Joux,8065483,Alexandre,Jura-Nord vaudois,Le Lieu,46.63267,6.26142,Entire home/apt,346,2,79,2023-09-09,0.75,1,109,3,
1519749,Perle de Lavaux with outstanding Lake Léman views,8111735,Jean & Beatrix,Lavaux-Oron,Bourg-en-Lavaux,46.491925499911495,6.736986131025661,Entire home/apt,170,3,44,2023-09-30,0.35,1,348,6,
1523160,Appart au coeur de Lausanne,4764074,Maira,Lausanne,Lausanne,46.52031,6.63538,Entire home/apt,189,5,170,2024-02-09,1.33,1,275,2,
1533295,"Nyon center, cosy & calm, 5 min walk to lake",8177334,Louise,Nyon,Nyon,46.37676,6.22977,Private room,70,2,29,2024-03-06,0.26,3,277,8,
1544283,Charming apartment with parking,8229982,Valeh,Ouest lausannois,Prilly,46.53463,6.60612,Entire home/apt,130,2,104,2024-02-18,0.94,1,202,17,
1553553,Comfortable room in the city center,6862236,Aïcha,Lausanne,Lausanne,46.52479,6.62406,Private room,,2,103,2023-04-23,0.80,1,0,3,
1558799,Nice flat close to the lake,944870,Veronika,Lausanne,Lausanne,46.51646,6.61131,Entire home/apt,,3,21,2020-09-27,0.22,1,0,0,
1664994,Joli studio refait à neuf plein cœur de Lausanne,8819357,Gregory,Lausanne,Lausanne,46.52617,6.61818,Entire home/apt,99,3,67,2024-01-29,0.65,1,96,12,
1730957,"Cosy flat, recently renovated, 15 min from Gstaad",9048020,Cecilia,Riviera-Pays-d'Enhaut,Château-d'Oex,46.47693,7.14354,Entire home/apt,300,2,22,2023-07-31,0.18,1,327,2,
1757721,Century-old Swiss chalet with views to die for,9242503,Damien,Aigle,Ollon,46.302436654342074,7.041843690013256,Entire home/apt,350,7,13,2024-02-17,0.12,1,358,2,
1814514,A4C2 très grande et belle chambre,2193547,Inès,Lausanne,Lausanne,46.53066,6.63127,Private room,60,1,14,2023-12-31,0.16,16,317,2,
