neighbourhood_group,neighbourhood
Aigle,Aigle
Aigle,Bex
Aigle,Chessel
Aigle,Corbeyrier
Aigle,Gryon
Aigle,Lavey-Morcles
Aigle,Leysin
Aigle,Noville
Aigle,Ollon
Aigle,Ormont-Dessous
Aigle,Ormont-Dessus
Aigle,Rennaz
Aigle,Roche (Vaud)
Aigle,Villeneuve (Vaud)
Aigle,Yvorne
Broye-Vully,Avenches
Broye-Vully,Bussy-sur-Moudon
Broye-Vully,Champtauroz
Broye-Vully,Chavannes-sur-Moudon
Broye-Vully,Chevroux
Broye-Vully,Corcelles-le-Jorat
Broye-Vully,Corcelles-près-Payerne
Broye-Vully,Cudrefin
Broye-Vully,Curtilles
Broye-Vully,Dompierre (Vaud)
Broye-Vully,Faoug
Broye-Vully,Grandcour
Broye-Vully,Henniez
Broye-Vully,Hermenches
Broye-Vully,Lovatens
Broye-Vully,Lucens
Broye-Vully,Missy
Broye-Vully,Moudon
Broye-Vully,Payerne
Broye-Vully,Prévonloup
Broye-Vully,Ropraz
Broye-Vully,Rossenges
Broye-Vully,Syens
Broye-Vully,Trey
Broye-Vully,Treytorrens (Payerne)
Broye-Vully,Valbroye
Broye-Vully,Villars-le-Comte
Broye-Vully,Villarzel
Broye-Vully,Vucherens
Broye-Vully,Vulliens
Broye-Vully,Vully-les-Lacs
Gros-de-Vaud,Assens
Gros-de-Vaud,Bercher
Gros-de-Vaud,Bettens
Gros-de-Vaud,Bioley-Orjulaz
Gros-de-Vaud,Bottens
Gros-de-Vaud,Boulens
Gros-de-Vaud,Bournens
Gros-de-Vaud,Boussens
Gros-de-Vaud,Bretigny-sur-Morrens
Gros-de-Vaud,Cugy (Vaud)
Gros-de-Vaud,Daillens
Gros-de-Vaud,Echallens
Gros-de-Vaud,Essertines-sur-Yverdon
Gros-de-Vaud,Etagnières
Gros-de-Vaud,Fey
Gros-de-Vaud,Froideville
Gros-de-Vaud,Goumoëns
Gros-de-Vaud,Jorat-Menthue
Gros-de-Vaud,Lussery-Villars
Gros-de-Vaud,Mex (Vaud)
Gros-de-Vaud,Montanaire
Gros-de-Vaud,Montilliez
Gros-de-Vaud,Morrens (Vaud)
Gros-de-Vaud,Ogens
Gros-de-Vaud,Oppens
Gros-de-Vaud,Oulens-sous-Echallens
Gros-de-Vaud,Pailly
Gros-de-Vaud,Penthalaz
Gros-de-Vaud,Penthaz
Gros-de-Vaud,Penthéréaz
Gros-de-Vaud,Poliez-Pittet
Gros-de-Vaud,Rueyres
Gros-de-Vaud,Saint-Barthélemy (Vaud)
Gros-de-Vaud,Sullens
Gros-de-Vaud,Villars-le-Terroir
Gros-de-Vaud,Vuarrens
Gros-de-Vaud,Vufflens-la-Ville
Jura-Nord vaudois,Agiez
Jura-Nord vaudois,Arnex-sur-Orbe
Jura-Nord vaudois,Ballaigues
