id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
73282,https://www.airbnb.com/rooms/73282,20231227173841,2023-12-28,previous scrape,Rental unit in Zurich · ★4.78 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/481072/abd94c69_original.jpg,377532,https://www.airbnb.com/users/show/377532,Simona,2011-02-04,"Zurich, Switzerland","I am from Italy and have lived in Zurich for a few years now. My favourite destinations are Sicily, Sardinia, the Mediterranean in general, all volcanoes, islands and seasides on this Earth, and great, progressive cities.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/377532/profile_pic/1381299725/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/377532/profile_pic/1381299725/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Sihlfeld,Kreis 3,47.37167,8.51948,Entire rental unit,Entire home/apt,4,,1 bath,,1,[],$100.00,1125,1125,1125,1125,1125,1125,1125.0,1125.0,,t,23,53,83,358,2023-12-28,47,0,0,2012-05-19,2019-04-27,4.78,4.87,4.8,4.84,4.93,4.71,4.61,,f,1,1,0,0,0.33
178448,https://www.airbnb.com/rooms/178448,20231227173841,2023-12-27,city scrape,Rental unit in Zurich · ★4.89 · 1 bedroom · 1 bed · 1 bath,,"We live in one of the top locations of Zürich, the Hürrlimann Areal where the headquarter of Google Europe is located <br />Its a 5 Minutes walk to Bahnhof Enge, 10 Minutes walk to the Bahnhofstrasse, 10 minutes to the lakeside.",https://a0.muscache.com/pictures/7d41e016-e818-4fe1-9d42-a5d0ae34bdda.jpg,854016,https://www.airbnb.com/users/show/854016,Delphine,2011-07-22,"Zurich, Switzerland","I am a quiet, friendly and caring person
I love Creativity, Painting, Writing, Reading, Music, Dancing, Yoga, Fashion and Decoration
I travel since ever and mostly for my job all over the world",within a few hours,100%,0%,f,https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,"Zurich, Switzerland",Enge,Kreis 2,47.36514,8.52615,Private room in rental unit,Private room,1,,1 bath,,1,[],$60.00,5,31,5,5,31,31,5.0,31.0,,t,0,0,1,88,2023-12-27,9,0,0,2011-08-30,2016-05-10,4.89,4.89,4.89,4.89,4.89,5.0,4.89,,f,1,0,1,0,0.06
204586,https://www.airbnb.com/rooms/204586,20231227173841,2023-12-27,city scrape,Rental unit in Zurich · 1 bedroom · 1 bed · 1 shared bath,,,https://a0.muscache.com/pictures/55486203/98347fab_original.jpg,1004816,https://www.airbnb.com/users/show/1004816,Aicha,2011-08-22,"Zurich, Switzerland","I'm a very active person, love traveling, cooking, design, architecture, fashion and more
I'm a not smoking, my apartment as well.
love sport, jogging... and more

love out going, musicals, theatre... and more

http://facebook.com/aicha.baakili",N/A,N/A,100%,f,https://a0.muscache.com/im/users/1004816/profile_pic/1314029145/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1004816/profile_pic/1314029145/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,f,,Höngg,Kreis 10,47.40644,8.48385,Private room in rental unit,Private room,1,,1 shared bath,,1,[],$200.00,3,6,3,3,6,6,3.0,6.0,,t,24,54,84,359,2023-12-27,0,0,0,,,,,,,,,,,f,1,0,1,0,
222565,https://www.airbnb.com/rooms/222565,20231227173841,2023-12-28,city scrape,Home in Zurich · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,,"In der Nähe befinde sich Lind die Chokolade Fabrick, auf denandere seite steht der Zürich Campingplatz der hat eine Atraktiver Restaurant heist Fritz and Fisch, 8 Minuten zu Fuss richtung Zürich befinde sich das Kultur Haus Rotefabrick, liegt am See mit eine Tipische Sympatisches Restaurant, sehr Günstig für Zürich.",https://a0.muscache.com/pictures/2299734/2509e4e8_original.jpg,1155866,https://www.airbnb.com/users/show/1155866,Ysabel,2011-09-14,"Zurich, Switzerland","We are a multicultural family. We like arts and music.  I come from Peru we like travel, every year one or two times.
",within an hour,100%,97%,f,https://a0.muscache.com/im/users/1155866/profile_pic/1318532499/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1155866/profile_pic/1318532499/original.jpg?aki_policy=profile_x_medium,,3,7,"['email', 'phone']",t,t,"Zurich, Switzerland",Wollishofen,Kreis 2,47.33438,8.54078,Private room in home,Private room,2,,1 shared bath,,1,[],$78.00,2,30,2,2,30,30,2.0,30.0,,t,0,0,0,0,2023-12-28,236,12,1,2011-11-03,2023-12-10,4.61,4.67,4.36,4.83,4.84,4.77,4.62,,f,2,1,1,0,1.59
227039,https://www.airbnb.com/rooms/227039,20231227173841,2023-12-28,city scrape,Loft in Zurich · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths,,"Zurich is hip-circuit with the Swiss peacefulness!<br /><br />Zurich-West – From Industrial Quarter to Trendy District<br />The district in the west of Zurich is full of contrasts, boasting an unpolished charm. Where ships were once built and engines bolted together, art, design, food, culture shopping and architecture are now the center of attention. Factories have moved away, leaving their vast expanses of space that creative minds have taken advantage of. The coolest place to live, work, dine, go clubbing in Zurich. This was a former industrial areas that has developed in a hybrid living working cultural space<br /><br />History and national heritage<br />    Historic monument<br />    Fraumunster church : 2.00 km<br />    Grossmunster church : 2.00 km<br />    ZUERICH NATIONAL MUSEUM : 2 km<br /><br />Culture and shows<br />    Cinema (mainstream) : 300  m<br />    RiffRaff (alternative cinema) : 700 m<br />    MAAG MUSIC HALL : 500 m<br />    SCHIFFBAU THEATER : right here <br /> ",https://a0.muscache.com/pictures/c93b46a3-ceb0-4df6-b2c7-50de85702bb4.jpg,1184427,https://www.airbnb.com/users/show/1184427,Lucas,2011-09-20,"Zurich, Switzerland",I'm a Swiss management consultant and enjoy traveling the world as well as hosting guests in my beautiful home when I am abroad for travel or business. ,within a day,100%,33%,f,https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone', 'work_email']",t,t,"Zurich, Canton of Zurich, Switzerland",Escher Wyss,Kreis 5,47.38942,8.51881,Entire loft,Entire home/apt,3,,1.5 baths,,2,[],$500.00,3,10,3,3,10,10,3.0,10.0,,t,20,50,80,257,2023-12-28,31,1,0,2011-11-04,2023-08-22,4.97,5.0,4.94,4.97,4.94,4.94,4.84,,f,1,1,0,0,0.21
251204,https://www.airbnb.com/rooms/251204,20231227173841,2023-12-28,previous scrape,Rental unit in Zurich · 1 bedroom · 1 bed · 1 bath,,The Wipkingen district currently enjoys the status of one of the hippest districts in the city. The neighbours in the house (between 20-45 years old) are uncomplicated and very nice and helpful.,https://a0.muscache.com/pictures/miso/Hosting-251204/original/9ad5ae7b-7a71-46eb-b8d9-74db58fc074b.jpeg,1224284,https://www.airbnb.com/users/show/1224284,Urban,2011-09-29,"Zürich, Switzerland","working as a UX/UI Designer. I am reliable, like it clean and tidy, am open and like to meet new interesting people.",N/A,N/A,N/A,f,https://a0.muscache.com/im/users/1224284/profile_pic/1425029207/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1224284/profile_pic/1425029207/original.jpg?aki_policy=profile_x_medium,,1,4,"['email', 'phone']",t,t,"Zurich, Switzerland",Wipkingen,Kreis 10,47.39282,8.52685,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],,5,30,5,5,30,30,5.0,30.0,,,0,0,0,0,2023-12-28,1,0,0,2022-10-03,2022-10-03,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.07
253802,https://www.airbnb.com/rooms/253802,20231227173841,2023-12-28,city scrape,Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 2 baths,,"Picture this: the camera pans over the breathtaking old town of Zurich, where once upon a time, knights in shining armor roamed the very same streets you're about to walk down. The buildings around you date back to the 13th century, so if you're a history buff, you're in for a treat.<br /><br />But wait, there's more! Within a mere 10-minute walk, you'll find yourself standing in front of not one, not two, but two rivers and a magnificent lake. It's like nature put on a show just for you.<br /><br />And if you're feeling adventurous, the central train station is only a 5-minute walk away. If you're crazy enough to want to see another town, it's only a hop, skip, and a jump away. It's Switzerland after all, where nothing is too far away.<br /><br />But hold on to your hats, folks, because the real kicker is the mountains. That's right, the mountains are just a train ride away. And let me tell you, they are something to behold. So strap on your hiking boots and get ready for the adventur",https://a0.muscache.com/pictures/miso/Hosting-253802/original/3635bd9e-517a-4db3-9d66-d778f20d9a7a.jpeg,1333119,https://www.airbnb.com/users/show/1333119,Marko,2011-10-25,"Zurich, Switzerland","Hi i’m Marko from Zurich, Switzerland",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/a51cd31f-a5f9-481d-870e-7791237fc49d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a51cd31f-a5f9-481d-870e-7791237fc49d.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,"Zurich, Switzerland",Lindenhof,Kreis 1,47.37356,8.53949,Entire rental unit,Entire home/apt,2,,2 baths,,1,[],$202.00,3,90,3,3,90,90,3.0,90.0,,t,29,59,89,364,2023-12-28,4,4,0,2023-03-25,2023-06-17,5.0,5.0,4.75,5.0,5.0,5.0,4.75,,f,1,1,0,0,0.43
283737,https://www.airbnb.com/rooms/283737,20231227173841,2023-12-28,city scrape,Rental unit in Zurich · ★4.47 · 2 bedrooms · 2 beds · 1 bath,,"In my opinion the niederdorf is the most beautiful neighborhood in Zurich… the old houses, the nice little shops, the restaurants and bars, the churches, the river, the lake ...",https://a0.muscache.com/pictures/b0b6eedd-d96c-4b7c-9b8d-96a1ef7b6008.jpg,1477771,https://www.airbnb.com/users/show/1477771,Nuria,2011-12-06,"Zurich, Switzerland","I’m a young widow with two very sweet boys. I own a design and art gallery in Zurich. We love to travel as much as possible. 


",within an hour,100%,76%,f,https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_x_medium,,2,3,"['email', 'phone', 'work_email']",t,t,"Zurich, Switzerland",Rathaus,Kreis 1,47.37372,8.54452,Entire rental unit,Entire home/apt,4,,1 bath,,2,[],$159.00,4,120,4,4,1125,1125,4.0,1125.0,,t,7,24,39,162,2023-12-28,341,45,1,2012-01-23,2023-12-04,4.47,4.44,4.53,4.7,4.74,4.94,4.42,,f,2,2,0,0,2.35
292351,https://www.airbnb.com/rooms/292351,20231227173841,2023-12-28,previous scrape,Condo in Zürich · ★4.60 · 3 bedrooms · 9 beds · 2.5 baths,,"Zurich Albisriederplatz is 1 minute walk<br />Trams and buses 10 mins to Central Zurich<br />Letzipark shopping centre, and Letzigrund are within walking distance.",https://a0.muscache.com/pictures/36932097-1779-4dfd-b18e-94873c817c45.jpg,1513739,https://www.airbnb.com/users/show/1513739,Anil,2011-12-17,"Zurich, Switzerland","I was born in India, lived for many years in London and Tokyo.., 
and lived in Zurich for a few years.
",N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/87c24f0f-d8d5-4469-a291-f8dcc80ea5e8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/87c24f0f-d8d5-4469-a291-f8dcc80ea5e8.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Zürich, Switzerland",Hard,Kreis 4,47.38066,8.50657,Entire condo,Entire home/apt,10,,2.5 baths,,9,[],,5,1125,5,5,1125,1125,5.0,1125.0,,,0,0,0,0,2023-12-28,10,1,0,2018-01-04,2023-07-31,4.6,4.7,4.6,4.7,5.0,4.9,4.3,,t,1,1,0,0,0.14
310964,https://www.airbnb.com/rooms/310964,20231227173841,2023-12-28,city scrape,Rental unit in Zurich · ★4.92 · 3 bedrooms · 2 beds · 2 baths,,Many theaters and museums as well as dozins of Restaurants within walking distance.,https://a0.muscache.com/pictures/3304245/14d3fae6_original.jpg,1266114,https://www.airbnb.com/users/show/1266114,Kim,2011-10-09,"Zurich, Switzerland","I live with my lovely 10 year old daughter and wife, who is a yoga teacher. I work with start-up companies and currently I am building up the interpreting technology company Interprefy. As we live in the center of Zurich, we don’t have a car, but we handle all our transportation needs with bicycles, car-sharing or public transportation, which is excellent here in Switzerland.",N/A,N/A,0%,f,https://a0.muscache.com/im/pictures/user/c5f79a87-9e38-4344-ac69-000ba90aa1b7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c5f79a87-9e38-4344-ac69-000ba90aa1b7.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Zurich, Switzerland",Hochschulen,Kreis 1,47.36713,8.54868,Entire rental unit,Entire home/apt,6,,2 baths,,2,[],$360.00,7,14,7,7,14,14,7.0,14.0,,t,0,0,0,270,2023-12-28,13,0,0,2012-07-25,2019-01-06,4.92,4.92,4.77,5.0,4.92,4.85,4.85,,f,1,1,0,0,0.09
