"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_per_person"
42515,"https://www.airbnb.com/rooms/42515",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths","https://a0.muscache.com/pictures/10640277/ff1da5fd_original.jpg",185647,"https://www.airbnb.com/users/show/185647","Noelle",14820,"within a few hours",FALSE,"https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/185647/profile_pic/1316167292/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Commune de Genève",46.20198,6.15672,"Private room in rental unit","Private room",1,"1.5 shared baths",1,3,1125,3,3,1125,1125,3,1125,TRUE,28,58,88,363,19718,73,6,0,15241,19664,4.73,4.72,4.77,4.84,4.83,4.84,4.52,FALSE,1,0,1,0,0.49,100,40,89
107438,"https://www.airbnb.com/rooms/107438",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths","https://a0.muscache.com/pictures/93bb00cc-03bb-47c3-905f-a7ae7fa4e328.jpg",556499,"https://www.airbnb.com/users/show/556499","F. M.",15098,"a few days or more",FALSE,"https://a0.muscache.com/im/users/556499/profile_pic/1304521913/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/556499/profile_pic/1304521913/original.jpg?aki_policy=profile_x_medium",2,5,TRUE,TRUE,"Commune de Genève",46.18905,6.16154,"Private room in rental unit","Private room",1,"1.5 shared baths",1,5,1125,5,5,1125,1125,5,1125,TRUE,27,57,87,362,19718,23,0,0,15109,18230,4.87,4.9,4.76,4.76,4.76,4.57,4.57,FALSE,1,0,1,0,0.15,0,0,60
276025,"https://www.airbnb.com/rooms/276025",20231227030725,19718,"city scrape","Rental unit in Versoix · ★4.62 · 1 bedroom · 4 beds · 1 bath","https://a0.muscache.com/pictures/4156456/d3aed209_original.jpg",1442438,"https://www.airbnb.com/users/show/1442438","Gaby",15303,"within an hour",FALSE,"https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1442438/profile_pic/1400101811/original.jpg?aki_policy=profile_x_medium",2,2,TRUE,TRUE,"Versoix",46.28031,6.16833,"Entire rental unit","Entire home/apt",3,"1 bath",4,7,360,6,7,1125,1125,7,1125,TRUE,0,6,36,311,19718,118,12,0,15414,19616,4.62,4.69,4.73,4.88,4.89,4.76,4.7,FALSE,1,1,0,0,0.82,100,97,26
338682,"https://www.airbnb.com/rooms/338682",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.81 · 1 bedroom · 1 bed · 1.5 baths","https://a0.muscache.com/pictures/14164129/db92c79b_original.jpg",1001280,"https://www.airbnb.com/users/show/1001280","Mike",15207,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/3bbea84c-25ee-4cbf-b728-a983dd3153e0.jpg?aki_policy=profile_x_medium",6,12,TRUE,TRUE,"Commune de Genève",46.20708,6.15545,"Entire rental unit","Entire home/apt",2,"1.5 baths",1,5,365,5,5,1125,1125,5,1125,TRUE,0,25,55,55,19718,116,1,0,15401,19626,4.81,4.85,4.77,4.9,4.89,4.87,4.69,TRUE,2,2,0,0,0.81,100,100,78.5
399388,"https://www.airbnb.com/rooms/399388",20231227030725,19718,"city scrape","Rental unit in Carouge · ★4.83 · 1 bedroom · 1 bed · 1 shared bath","https://a0.muscache.com/pictures/82542974/c8568e72_original.jpg",1994454,"https://www.airbnb.com/users/show/1994454","Oscar",15422,"within a few hours",FALSE,"https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/ebd3be38-988a-47cb-89b3-df1158052d7b.jpg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Commune de Genève",46.18904,6.13908,"Private room in rental unit","Private room",2,"1 shared bath",1,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,27,117,19718,50,2,1,15536,19694,4.83,4.78,4.86,4.94,4.88,4.68,4.7,FALSE,2,0,2,0,0.36,100,47,47
411058,"https://www.airbnb.com/rooms/411058",20231227030725,19718,"city scrape","Loft in Geneva · ★4.77 · 1 bedroom · 1 bed · 1.5 shared baths","https://a0.muscache.com/pictures/airflow/Hosting-411058/original/5e0aaac9-8a72-4f6b-9376-42d2413d2756.jpg",1706035,"https://www.airbnb.com/users/show/1706035","Julik",15376,"within a day",FALSE,"https://a0.muscache.com/im/pictures/user/User-1706035/original/e1f410c6-09a3-47da-83f7-075d3ff84e7f.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-1706035/original/e1f410c6-09a3-47da-83f7-075d3ff84e7f.jpeg?aki_policy=profile_x_medium",1,3,TRUE,TRUE,"Commune de Genève",46.21127,6.1454,"Private room in loft","Private room",2,"1.5 shared baths",1,2,7,2,2,7,7,2,7,TRUE,23,53,83,83,19718,53,5,0,16200,19616,4.77,4.83,4.85,4.94,4.96,4.88,4.62,FALSE,1,0,1,0,0.45,100,93,125
419631,"https://www.airbnb.com/rooms/419631",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.94 · 1 bedroom · 1 bed · 1.5 baths","https://a0.muscache.com/pictures/e591abb4-fc83-458b-b29a-edc859346567.jpg",2086993,"https://www.airbnb.com/users/show/2086993","Mark",15437,"within an hour",FALSE,"https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2086993/profile_pic/1374756765/original.jpg?aki_policy=profile_x_medium",2,2,TRUE,TRUE,"Commune de Genève",46.1995,6.17308,"Private room in rental unit","Private room",2,"1.5 baths",1,2,30,1,1,1125,1125,1,1125,TRUE,0,0,10,10,19718,77,21,0,15850,19685,4.94,4.97,5,4.99,4.99,4.86,4.91,TRUE,2,1,1,0,0.6,100,98,91
476344,"https://www.airbnb.com/rooms/476344",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.76 · 3 bedrooms · 4 beds · 2.5 baths","https://a0.muscache.com/pictures/6239604/a651ff2d_original.jpg",2361206,"https://www.airbnb.com/users/show/2361206","Jean",15473,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/60db7fe4-094e-4797-b085-d8048e0b148b.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/60db7fe4-094e-4797-b085-d8048e0b148b.jpg?aki_policy=profile_x_medium",1,2,TRUE,TRUE,"Commune de Genève",46.19327,6.15306,"Entire rental unit","Entire home/apt",5,"2.5 baths",4,3,30,3,3,30,30,3,30,TRUE,20,50,77,144,19718,210,42,3,15513,19702,4.76,4.74,4.65,4.81,4.89,4.78,4.64,FALSE,1,1,0,0,1.5,100,100,53.8
494701,"https://www.airbnb.com/rooms/494701",20231227030725,19718,"city scrape","Rental unit in Geneva · ★4.10 · 4 bedrooms · 4 beds · 1.5 baths","https://a0.muscache.com/pictures/2d968b6d-4e9b-4346-a21e-197cf6545365.jpg",2388229,"https://www.airbnb.com/users/show/2388229","Alberto",15476,"within an hour",FALSE,"https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_x_medium",5,18,TRUE,TRUE,"Commune de Genève",46.20509,6.12383,"Entire rental unit","Entire home/apt",8,"1.5 baths",4,7,1125,7,7,1125,1125,7,1125,TRUE,11,33,63,338,19718,181,7,1,15651,19700,4.1,4.37,4.19,4.61,4.61,4.44,4.23,FALSE,5,5,0,0,1.33,100,100,21.875
610738,"https://www.airbnb.com/rooms/610738",20231227030725,19718,"city scrape","Rental unit in Genève · ★4.38 · 2 bedrooms · 2 beds · 1 bath","https://a0.muscache.com/pictures/83847321/28ad6bdb_original.jpg",2388229,"https://www.airbnb.com/users/show/2388229","Alberto",15476,"within an hour",FALSE,"https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2388229/profile_pic/1347610553/original.jpg?aki_policy=profile_x_medium",5,18,TRUE,TRUE,"Commune de Genève",46.20118,6.13287,"Entire rental unit","Entire home/apt",4,"1 bath",2,6,1125,6,6,1125,1125,6,1125,TRUE,25,55,85,360,19718,41,8,1,15568,19697,4.38,4.59,4.37,4.78,4.63,4.59,4.24,FALSE,5,5,0,0,0.3,100,100,45
