"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_per_person"
7381,"https://www.airbnb.com/rooms/7381",20240503175201,19846,"city scrape","Chalet Chocolat in medieval alpine village","https://a0.muscache.com/pictures/23261/dd61f58e_original.jpg",19480,"https://www.airbnb.com/users/show/19480","Paula",14395,"within a few hours",FALSE,"https://a0.muscache.com/im/pictures/user/User-19480/original/2e1058f6-f78d-4210-8991-fbe19bd935bd.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-19480/original/2e1058f6-f78d-4210-8991-fbe19bd935bd.jpeg?aki_policy=profile_x_medium",2,4,TRUE,TRUE,"Ormont-Dessus",46.35447,7.13187,"Entire rental unit","Entire home/apt",3,"1 bath",2,3,180,3,3,180,180,3,180,TRUE,21,50,64,318,19846,58,3,0,15552,19555,4.74,4.69,4.84,4.74,4.81,4.74,4.68,FALSE,1,1,0,0,0.41,100,50,26.6666666666667
268195,"https://www.airbnb.com/rooms/268195",20240503175201,19847,"city scrape","Chalet Balthazar 4 - Central Villars, Great Views","https://a0.muscache.com/pictures/f46cd1ee-5870-4a3e-8ca1-d5990eeb3f51.jpg",1405645,"https://www.airbnb.com/users/show/1405645","David",15292,"within a few hours",TRUE,"https://a0.muscache.com/im/pictures/user/41948fbc-082b-4e4c-8b7c-b808430e03ca.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/41948fbc-082b-4e4c-8b7c-b808430e03ca.jpg?aki_policy=profile_x_medium",5,6,TRUE,TRUE,"Ollon",46.29621,7.05534,"Entire rental unit","Entire home/apt",6,"3 baths",4,4,1125,4,7,4,1125,4.2,925.3,TRUE,3,21,41,175,19847,18,2,0,17063,19615,4.94,4.94,5,4.94,4.94,4.94,4.78,FALSE,5,5,0,0,0.19,100,79,77.6666666666667
282240,"https://www.airbnb.com/rooms/282240",20240503175201,19847,"city scrape","Wonderful LOFT PRIVAT in citycenter","https://a0.muscache.com/pictures/2895308/8b788dcc_original.jpg",1471038,"https://www.airbnb.com/users/show/1471038","Mike",15312,"within a few hours",TRUE,"https://a0.muscache.com/im/users/1471038/profile_pic/1343644440/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1471038/profile_pic/1343644440/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Lausanne",46.52192,6.64,"Entire loft","Entire home/apt",3,"1.5 baths",1,3,365,3,3,1125,1125,3,1125,TRUE,0,0,0,215,19847,22,6,0,15520,19627,4.68,4.9,4.57,4.67,4.95,4.81,4.43,TRUE,1,1,0,0,0.15,100,75,59.6666666666667
347194,"https://www.airbnb.com/rooms/347194",20240503175201,19846,"city scrape","Castle in the hill. Stunning view 1","https://a0.muscache.com/pictures/3833594/1eb4c056_original.jpg",1759902,"https://www.airbnb.com/users/show/1759902","Anne Et Maureen",15386,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/User-1759902/original/bac7fefa-db2f-4f68-8131-26c32a9dcda4.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-1759902/original/bac7fefa-db2f-4f68-8131-26c32a9dcda4.jpeg?aki_policy=profile_x_medium",3,3,TRUE,TRUE,"Chardonne",46.47465,6.8007,"Room in bed and breakfast","Hotel room",4,"1 private bath",3,1,365,1,2,365,1125,1.1,629.4,TRUE,17,30,54,183,19846,78,4,0,15482,19810,4.81,4.83,4.92,4.87,4.89,4.85,4.66,TRUE,3,1,0,0,0.54,100,100,57
361490,"https://www.airbnb.com/rooms/361490",20240503175201,19846,"city scrape","Castle in the hill. Stunning view 2","https://a0.muscache.com/pictures/10425284/fbd00475_original.jpg",1759902,"https://www.airbnb.com/users/show/1759902","Anne Et Maureen",15386,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/User-1759902/original/bac7fefa-db2f-4f68-8131-26c32a9dcda4.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-1759902/original/bac7fefa-db2f-4f68-8131-26c32a9dcda4.jpeg?aki_policy=profile_x_medium",3,3,TRUE,TRUE,"Chardonne",46.4737205505371,6.80130577087402,"Entire rental unit","Entire home/apt",2,"1 bath",2,1,365,1,2,365,1125,1.1,629.4,TRUE,15,29,54,193,19846,102,21,0,15407,19813,4.88,4.75,4.93,4.78,4.77,4.91,4.71,TRUE,3,1,0,0,0.69,100,100,105
441365,"https://www.airbnb.com/rooms/441365",20240503175201,19846,"city scrape","Centré 2 pieces superbe appartement","https://a0.muscache.com/pictures/57062553-3e2a-44c5-ac17-cc9ce03720c6.jpg",2193547,"https://www.airbnb.com/users/show/2193547","Inès",15452,"within a few hours",FALSE,"https://a0.muscache.com/im/users/2193547/profile_pic/1335082577/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2193547/profile_pic/1335082577/original.jpg?aki_policy=profile_x_medium",18,27,TRUE,TRUE,"Lausanne",46.5307,6.63133,"Entire rental unit","Entire home/apt",2,"1 bath",1,1,360,1,1,360,360,1,360,TRUE,5,34,34,156,19846,26,0,0,16059,19329,4.23,4.61,4.22,4.86,4.78,4.36,4.18,FALSE,17,1,16,0,0.21,100,63,50
465603,"https://www.airbnb.com/rooms/465603",20240503175201,19846,"city scrape","Spacious room - private bathroom","https://a0.muscache.com/pictures/8798599/07de0dc1_original.jpg",2312887,"https://www.airbnb.com/users/show/2312887","Elisabeth",15467,"within a few hours",FALSE,"https://a0.muscache.com/im/pictures/user/ae439c91-3b5d-415c-b6b0-73e133a7180d.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/ae439c91-3b5d-415c-b6b0-73e133a7180d.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Rennaz",46.37578,6.91791,"Private room in rental unit","Private room",1,"1 private bath",1,3,90,1,3,90,90,3,90,TRUE,4,29,44,135,19846,272,14,0,15488,19810,4.65,4.78,4.74,4.75,4.81,4.59,4.71,FALSE,1,0,1,0,1.87,100,90,42
545587,"https://www.airbnb.com/rooms/545587",20240503175201,19846,"city scrape","Bright 2nd floor Business/ Holiday apartment","https://a0.muscache.com/pictures/6649169/89d14eda_original.jpg",440526,"https://www.airbnb.com/users/show/440526","Lars",15047,"within an hour",TRUE,"https://a0.muscache.com/im/users/440526/profile_pic/1331194822/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/440526/profile_pic/1331194822/original.jpg?aki_policy=profile_x_medium",6,7,TRUE,TRUE,"Bourg-en-Lavaux",46.49024,6.74794,"Entire condo","Entire home/apt",3,"1 bath",1,3,180,3,3,1125,1125,3,1125,TRUE,25,55,85,266,19846,3,2,1,19264,19835,4.67,5,5,5,5,4.5,5,TRUE,6,6,0,0,0.15,100,99,45.3333333333333
563402,"https://www.airbnb.com/rooms/563402",20240503175201,19846,"city scrape","Heidi Chalet Alps - Unique Experience - Authentic","https://a0.muscache.com/pictures/prohost-api/Hosting-563402/original/66ad451a-6c83-4d00-84d1-7ddc5c0cd4c1.jpeg",2770598,"https://www.airbnb.com/users/show/2770598","Moriya",15519,"within an hour",TRUE,"https://a0.muscache.com/im/users/2770598/profile_pic/1340892406/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2770598/profile_pic/1340892406/original.jpg?aki_policy=profile_x_medium",724,1853,TRUE,TRUE,"Rossinière",46.4680031024239,7.06745924808011,"Entire rental unit","Entire home/apt",14,"2.5 baths",10,2,365,2,7,365,365,2.5,365,TRUE,13,33,63,326,19846,181,3,0,15542,19785,4.67,4.56,4.56,4.93,4.89,4.89,4.28,TRUE,27,27,0,0,1.26,100,48,17.7142857142857
605354,"https://www.airbnb.com/rooms/605354",20240503175201,19846,"city scrape","Chambre double située à Cully ! Wc/douche privatif","https://a0.muscache.com/pictures/ed2683c2-1bbc-4b36-8223-bec8108db85e.jpg",2998131,"https://www.airbnb.com/users/show/2998131","Claire",15541,"within an hour",TRUE,"https://a0.muscache.com/im/users/2998131/profile_pic/1343810669/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2998131/profile_pic/1343810669/original.jpg?aki_policy=profile_x_medium",2,6,TRUE,TRUE,"Bourg-en-Lavaux",46.48881,6.73033,"Private room in bed and breakfast","Private room",4,"2 shared baths",4,1,1125,1,1,1125,1125,1,1125,TRUE,28,54,82,355,19846,184,24,6,15584,19841,4.82,4.81,4.82,4.93,4.91,4.9,4.64,FALSE,2,0,2,0,1.29,100,89,90
