"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_in_usd"
73282,"https://www.airbnb.com/rooms/73282",20231227173841,19719,"previous scrape","Rental unit in Zurich · ★4.78 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/481072/abd94c69_original.jpg",377532,"https://www.airbnb.com/users/show/377532","Simona",15009,NA,FALSE,"https://a0.muscache.com/im/users/377532/profile_pic/1381299725/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/377532/profile_pic/1381299725/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 3",47.37167,8.51948,"Entire rental unit","Entire home/apt",4,"1 bath",1,1125,1125,1125,1125,1125,1125,1125,1125,TRUE,23,53,83,358,19719,47,0,0,15479,18013,4.78,4.87,4.8,4.84,4.93,4.71,4.61,FALSE,1,1,0,0,0.33,NA,NA,100
178448,"https://www.airbnb.com/rooms/178448",20231227173841,19718,"city scrape","Rental unit in Zurich · ★4.89 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/7d41e016-e818-4fe1-9d42-a5d0ae34bdda.jpg",854016,"https://www.airbnb.com/users/show/854016","Delphine",15177,"within a few hours",FALSE,"https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,FALSE,"Kreis 2",47.36514,8.52615,"Private room in rental unit","Private room",1,"1 bath",1,5,31,5,5,31,31,5,31,TRUE,0,0,1,88,19718,9,0,0,15216,16931,4.89,4.89,4.89,4.89,4.89,5,4.89,FALSE,1,0,1,0,0.06,100,0,60
204586,"https://www.airbnb.com/rooms/204586",20231227173841,19718,"city scrape","Rental unit in Zurich · 1 bedroom · 1 bed · 1 shared bath","https://a0.muscache.com/pictures/55486203/98347fab_original.jpg",1004816,"https://www.airbnb.com/users/show/1004816","Aicha",15208,NA,FALSE,"https://a0.muscache.com/im/users/1004816/profile_pic/1314029145/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1004816/profile_pic/1314029145/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,FALSE,"Kreis 10",47.40644,8.48385,"Private room in rental unit","Private room",1,"1 shared bath",1,3,6,3,3,6,6,3,6,TRUE,24,54,84,359,19718,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1,0,1,0,NA,NA,100,200
222565,"https://www.airbnb.com/rooms/222565",20231227173841,19719,"city scrape","Home in Zurich · ★4.61 · 1 bedroom · 1 bed · 1 shared bath","https://a0.muscache.com/pictures/2299734/2509e4e8_original.jpg",1155866,"https://www.airbnb.com/users/show/1155866","Ysabel",15231,"within an hour",FALSE,"https://a0.muscache.com/im/users/1155866/profile_pic/1318532499/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1155866/profile_pic/1318532499/original.jpg?aki_policy=profile_x_medium",3,7,TRUE,TRUE,"Kreis 2",47.33438,8.54078,"Private room in home","Private room",2,"1 shared bath",1,2,30,2,2,30,30,2,30,TRUE,0,0,0,0,19719,236,12,1,15281,19701,4.61,4.67,4.36,4.83,4.84,4.77,4.62,FALSE,2,1,1,0,1.59,100,97,78
227039,"https://www.airbnb.com/rooms/227039",20231227173841,19719,"city scrape","Loft in Zurich · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths","https://a0.muscache.com/pictures/c93b46a3-ceb0-4df6-b2c7-50de85702bb4.jpg",1184427,"https://www.airbnb.com/users/show/1184427","Lucas",15237,"within a day",FALSE,"https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_x_medium",2,2,TRUE,TRUE,"Kreis 5",47.38942,8.51881,"Entire loft","Entire home/apt",3,"1.5 baths",2,3,10,3,3,10,10,3,10,TRUE,20,50,80,257,19719,31,1,0,15282,19591,4.97,5,4.94,4.97,4.94,4.94,4.84,FALSE,1,1,0,0,0.21,100,33,500
253802,"https://www.airbnb.com/rooms/253802",20231227173841,19719,"city scrape","Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 2 baths","https://a0.muscache.com/pictures/miso/Hosting-253802/original/3635bd9e-517a-4db3-9d66-d778f20d9a7a.jpeg",1333119,"https://www.airbnb.com/users/show/1333119","Marko",15272,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/a51cd31f-a5f9-481d-870e-7791237fc49d.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/a51cd31f-a5f9-481d-870e-7791237fc49d.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 1",47.37356,8.53949,"Entire rental unit","Entire home/apt",2,"2 baths",1,3,90,3,3,90,90,3,90,TRUE,29,59,89,364,19719,4,4,0,19441,19525,5,5,4.75,5,5,5,4.75,FALSE,1,1,0,0,0.43,100,100,202
283737,"https://www.airbnb.com/rooms/283737",20231227173841,19719,"city scrape","Rental unit in Zurich · ★4.47 · 2 bedrooms · 2 beds · 1 bath","https://a0.muscache.com/pictures/b0b6eedd-d96c-4b7c-9b8d-96a1ef7b6008.jpg",1477771,"https://www.airbnb.com/users/show/1477771","Nuria",15314,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Kreis 1",47.37372,8.54452,"Entire rental unit","Entire home/apt",4,"1 bath",2,4,120,4,4,1125,1125,4,1125,TRUE,7,24,39,162,19719,341,45,1,15362,19695,4.47,4.44,4.53,4.7,4.74,4.94,4.42,FALSE,2,2,0,0,2.35,100,76,159
310964,"https://www.airbnb.com/rooms/310964",20231227173841,19719,"city scrape","Rental unit in Zurich · ★4.92 · 3 bedrooms · 2 beds · 2 baths","https://a0.muscache.com/pictures/3304245/14d3fae6_original.jpg",1266114,"https://www.airbnb.com/users/show/1266114","Kim",15256,NA,FALSE,"https://a0.muscache.com/im/pictures/user/c5f79a87-9e38-4344-ac69-000ba90aa1b7.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/c5f79a87-9e38-4344-ac69-000ba90aa1b7.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Kreis 1",47.36713,8.54868,"Entire rental unit","Entire home/apt",6,"2 baths",2,7,14,7,7,14,14,7,14,TRUE,0,0,0,270,19719,13,0,0,15546,17902,4.92,4.92,4.77,5,4.92,4.85,4.85,FALSE,1,1,0,0,0.09,NA,0,360
551321,"https://www.airbnb.com/rooms/551321",20231227173841,19718,"city scrape","Home in Zurich · ★4.89 · 1 bedroom · 1 bed · 2.5 baths","https://a0.muscache.com/pictures/7074633/a19a1875_original.jpg",2709967,"https://www.airbnb.com/users/show/2709967","Stephanie",15513,"within a few hours",FALSE,"https://a0.muscache.com/im/users/2709967/profile_pic/1340388557/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2709967/profile_pic/1340388557/original.jpg?aki_policy=profile_x_medium",1,3,TRUE,TRUE,"Kreis 3",47.37156,8.51412,"Entire home","Entire home/apt",2,"2.5 baths",1,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,92,19718,21,0,0,15565,16290,4.89,4.74,4.89,4.95,4.95,4.84,4.68,TRUE,1,1,0,0,0.15,100,100,115
577683,"https://www.airbnb.com/rooms/577683",20231227173841,19719,"city scrape","Rental unit in Zurich · ★5.0 · 1 bedroom · 3 beds · 1.5 baths","https://a0.muscache.com/pictures/090331a6-5088-4324-bd7a-212848881d6f.jpg",1240329,"https://www.airbnb.com/users/show/1240329","Claudio",15250,"within a day",FALSE,"https://a0.muscache.com/im/pictures/user/d656c0ff-8d61-4f95-8cd1-e7987d40b338.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/d656c0ff-8d61-4f95-8cd1-e7987d40b338.jpg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Kreis 10",47.4049,8.49555,"Entire rental unit","Entire home/apt",4,"1.5 baths",3,5,30,3,5,30,30,4.4,30,TRUE,4,20,20,265,19719,7,0,0,15669,18811,5,5,5,5,4.86,5,4.86,FALSE,1,1,0,0,0.05,100,0,180
