"id","listing_url","scrape_id","last_scraped","source","name","picture_url","host_id","host_url","host_name","host_since","host_response_time","host_is_superhost","host_thumbnail_url","host_picture_url","host_listings_count","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms_text","beds","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews","number_of_reviews_ltm","number_of_reviews_l30d","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","reviews_per_month","host_response_rate_in_percent","host_acceptance_rate_in_percent","price_in_usd","price_per_person"
178448,"https://www.airbnb.com/rooms/178448",20231227173841,2023-12-27,"city scrape","Rental unit in Zurich · ★4.89 · 1 bedroom · 1 bed · 1 bath","https://a0.muscache.com/pictures/7d41e016-e818-4fe1-9d42-a5d0ae34bdda.jpg",854016,"https://www.airbnb.com/users/show/854016","Delphine",2011-07-22,"within a few hours",FALSE,"https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/854016/profile_pic/1311363294/original.jpg?aki_policy=profile_x_medium",1,1,TRUE,FALSE,"Enge",47.36514,8.52615,"Private room in rental unit","Private room",1,"1 bath",1,5,31,5,5,31,31,5,31,TRUE,0,0,1,88,2023-12-27,9,0,0,2011-08-30,2016-05-10,4.89,4.89,4.89,4.89,4.89,5,4.89,FALSE,1,0,1,0,0.06,100,0,60,60
222565,"https://www.airbnb.com/rooms/222565",20231227173841,2023-12-28,"city scrape","Home in Zurich · ★4.61 · 1 bedroom · 1 bed · 1 shared bath","https://a0.muscache.com/pictures/2299734/2509e4e8_original.jpg",1155866,"https://www.airbnb.com/users/show/1155866","Ysabel",2011-09-14,"within an hour",FALSE,"https://a0.muscache.com/im/users/1155866/profile_pic/1318532499/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/1155866/profile_pic/1318532499/original.jpg?aki_policy=profile_x_medium",3,7,TRUE,TRUE,"Wollishofen",47.33438,8.54078,"Private room in home","Private room",2,"1 shared bath",1,2,30,2,2,30,30,2,30,TRUE,0,0,0,0,2023-12-28,236,12,1,2011-11-03,2023-12-10,4.61,4.67,4.36,4.83,4.84,4.77,4.62,FALSE,2,1,1,0,1.59,100,97,78,78
227039,"https://www.airbnb.com/rooms/227039",20231227173841,2023-12-28,"city scrape","Loft in Zurich · ★4.97 · 2 bedrooms · 2 beds · 1.5 baths","https://a0.muscache.com/pictures/c93b46a3-ceb0-4df6-b2c7-50de85702bb4.jpg",1184427,"https://www.airbnb.com/users/show/1184427","Lucas",2011-09-20,"within a day",FALSE,"https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/23d284a1-b4ac-4e64-b894-9d4d2a50af66.jpg?aki_policy=profile_x_medium",2,2,TRUE,TRUE,"Escher Wyss",47.38942,8.51881,"Entire loft","Entire home/apt",3,"1.5 baths",2,3,10,3,3,10,10,3,10,TRUE,20,50,80,257,2023-12-28,31,1,0,2011-11-04,2023-08-22,4.97,5,4.94,4.97,4.94,4.94,4.84,FALSE,1,1,0,0,0.21,100,33,500,166.666666666667
253802,"https://www.airbnb.com/rooms/253802",20231227173841,2023-12-28,"city scrape","Rental unit in Zurich · ★5.0 · 1 bedroom · 1 bed · 2 baths","https://a0.muscache.com/pictures/miso/Hosting-253802/original/3635bd9e-517a-4db3-9d66-d778f20d9a7a.jpeg",1333119,"https://www.airbnb.com/users/show/1333119","Marko",2011-10-25,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/a51cd31f-a5f9-481d-870e-7791237fc49d.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/a51cd31f-a5f9-481d-870e-7791237fc49d.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Lindenhof",47.37356,8.53949,"Entire rental unit","Entire home/apt",2,"2 baths",1,3,90,3,3,90,90,3,90,TRUE,29,59,89,364,2023-12-28,4,4,0,2023-03-25,2023-06-17,5,5,4.75,5,5,5,4.75,FALSE,1,1,0,0,0.43,100,100,202,101
283737,"https://www.airbnb.com/rooms/283737",20231227173841,2023-12-28,"city scrape","Rental unit in Zurich · ★4.47 · 2 bedrooms · 2 beds · 1 bath","https://a0.muscache.com/pictures/b0b6eedd-d96c-4b7c-9b8d-96a1ef7b6008.jpg",1477771,"https://www.airbnb.com/users/show/1477771","Nuria",2011-12-06,"within an hour",FALSE,"https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/User-1477771/original/692249c9-ce75-47eb-a23d-0a5cadee3acc.jpeg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Rathaus",47.37372,8.54452,"Entire rental unit","Entire home/apt",4,"1 bath",2,4,120,4,4,1125,1125,4,1125,TRUE,7,24,39,162,2023-12-28,341,45,1,2012-01-23,2023-12-04,4.47,4.44,4.53,4.7,4.74,4.94,4.42,FALSE,2,2,0,0,2.35,100,76,159,39.75
551321,"https://www.airbnb.com/rooms/551321",20231227173841,2023-12-27,"city scrape","Home in Zurich · ★4.89 · 1 bedroom · 1 bed · 2.5 baths","https://a0.muscache.com/pictures/7074633/a19a1875_original.jpg",2709967,"https://www.airbnb.com/users/show/2709967","Stephanie",2012-06-22,"within a few hours",FALSE,"https://a0.muscache.com/im/users/2709967/profile_pic/1340388557/original.jpg?aki_policy=profile_small","https://a0.muscache.com/im/users/2709967/profile_pic/1340388557/original.jpg?aki_policy=profile_x_medium",1,3,TRUE,TRUE,"Sihlfeld",47.37156,8.51412,"Entire home","Entire home/apt",2,"2.5 baths",1,2,1125,2,2,1125,1125,2,1125,TRUE,0,0,0,92,2023-12-27,21,0,0,2012-08-13,2014-08-08,4.89,4.74,4.89,4.95,4.95,4.84,4.68,TRUE,1,1,0,0,0.15,100,100,115,57.5
577683,"https://www.airbnb.com/rooms/577683",20231227173841,2023-12-28,"city scrape","Rental unit in Zurich · ★5.0 · 1 bedroom · 3 beds · 1.5 baths","https://a0.muscache.com/pictures/090331a6-5088-4324-bd7a-212848881d6f.jpg",1240329,"https://www.airbnb.com/users/show/1240329","Claudio",2011-10-03,"within a day",FALSE,"https://a0.muscache.com/im/pictures/user/d656c0ff-8d61-4f95-8cd1-e7987d40b338.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/d656c0ff-8d61-4f95-8cd1-e7987d40b338.jpg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Höngg",47.4049,8.49555,"Entire rental unit","Entire home/apt",4,"1.5 baths",3,5,30,3,5,30,30,4.4,30,TRUE,4,20,20,265,2023-12-28,7,0,0,2012-11-25,2021-07-03,5,5,5,5,4.86,5,4.86,FALSE,1,1,0,0,0.05,100,0,180,45
610348,"https://www.airbnb.com/rooms/610348",20231227173841,2023-12-28,"city scrape","Rental unit in Zurich · ★4.73 · 4 bedrooms · 6 beds · 2 baths","https://a0.muscache.com/pictures/fad04441-d7be-4875-a8cf-510c4eb7a597.jpg",3026473,"https://www.airbnb.com/users/show/3026473","Leandra",2012-07-23,"within an hour",TRUE,"https://a0.muscache.com/im/pictures/user/d410dd8a-1a5f-45b2-95b0-e7aa3e9ab1f1.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/d410dd8a-1a5f-45b2-95b0-e7aa3e9ab1f1.jpg?aki_policy=profile_x_medium",3,3,TRUE,TRUE,"Oerlikon",47.40703,8.55232,"Entire rental unit","Entire home/apt",7,"2 baths",6,4,1125,4,4,1125,1125,4,1125,TRUE,22,26,49,278,2023-12-28,136,21,1,2012-09-17,2023-12-14,4.73,4.85,4.86,4.9,4.93,4.76,4.61,FALSE,2,2,0,0,0.99,100,100,240,34.2857142857143
644888,"https://www.airbnb.com/rooms/644888",20231227173841,2023-12-27,"city scrape","Rental unit in Zurich · ★4.80 · 3 bedrooms · 7 beds · 2 shared baths","https://a0.muscache.com/pictures/9554554/d05c2bc6_original.jpg",3228273,"https://www.airbnb.com/users/show/3228273","Violetta",2012-08-11,"within a day",FALSE,"https://a0.muscache.com/im/pictures/user/997fbe65-087b-46dc-9070-86fe43a0d3bd.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/997fbe65-087b-46dc-9070-86fe43a0d3bd.jpg?aki_policy=profile_x_medium",1,1,TRUE,TRUE,"Sihlfeld",47.37821,8.50637,"Private room in rental unit","Private room",4,"2 shared baths",7,4,14,4,4,14,14,4,14,TRUE,5,18,48,303,2023-12-27,16,1,0,2012-10-01,2023-08-14,4.8,4.87,4.8,4.93,4.8,4.67,4.73,FALSE,1,0,1,0,0.12,50,14,95,95
743035,"https://www.airbnb.com/rooms/743035",20231227173841,2023-12-27,"city scrape","Home in Zurich · ★4.37 · 1 bedroom · 4 beds · 1 bath","https://a0.muscache.com/pictures/miso/Hosting-743035/original/ff64eb13-fad5-43e4-9452-f731a60b455e.jpeg",3891818,"https://www.airbnb.com/users/show/3891818","Jacqueline",2012-10-16,"a few days or more",FALSE,"https://a0.muscache.com/im/pictures/user/41792d8f-cf86-46c2-a89c-7db9de4685f2.jpg?aki_policy=profile_small","https://a0.muscache.com/im/pictures/user/41792d8f-cf86-46c2-a89c-7db9de4685f2.jpg?aki_policy=profile_x_medium",2,3,TRUE,TRUE,"Friesenberg",47.35491,8.48682,"Entire home","Entire home/apt",5,"1 bath",4,2,1001,2,2,1001,1001,2,1001,TRUE,0,0,0,202,2023-12-27,102,13,0,2013-06-28,2023-09-03,4.37,4.37,4.07,4.69,4.68,4.55,4.13,FALSE,1,1,0,0,0.8,0,81,236,47.2
